index,bench.id,benchnum,mset,size,n.anom,n.norm,anomaly.rate.level,point.difficulty.level,clustering.algo,irrelevance.level,anomaly.rate,location
677,concrete_benchmark_1098,1098,concrete,468,5,463,ar-3,pd-3,none,ir-3,0.0106837606837607,concrete_benchmarks\concrete\benchmarks\concrete_benchmark_1098.csv
678,concrete_benchmark_1099,1099,concrete,468,5,463,ar-3,pd-3,none,ir-3,0.0106837606837607,concrete_benchmarks\concrete\benchmarks\concrete_benchmark_1099.csv
679,concrete_benchmark_1100,1100,concrete,468,5,463,ar-3,pd-3,none,ir-3,0.0106837606837607,concrete_benchmarks\concrete\benchmarks\concrete_benchmark_1100.csv
225,fault_benchmark_0246,246,fault,278,50,228,ar-0,pd-4,none,ir-1,0.179856115107914,fault_benchmarks\fault\benchmarks\fault_benchmark_0246.csv
226,fault_benchmark_0247,247,fault,277,37,240,ar-0,pd-4,none,ir-1,0.13357400722021698,fault_benchmarks\fault\benchmarks\fault_benchmark_0247.csv
227,fault_benchmark_0248,248,fault,277,51,226,ar-0,pd-4,none,ir-1,0.18411552346570398,fault_benchmarks\fault\benchmarks\fault_benchmark_0248.csv
228,fault_benchmark_0249,249,fault,277,47,230,ar-0,pd-4,none,ir-1,0.16967509025270802,fault_benchmarks\fault\benchmarks\fault_benchmark_0249.csv
229,fault_benchmark_0250,250,fault,277,49,228,ar-0,pd-4,none,ir-1,0.17689530685920604,fault_benchmarks\fault\benchmarks\fault_benchmark_0250.csv
320,gas_benchmark_0321,321,gas,6000,6,5994,ar-1,pd-0,scatter,ir-0,0.001,gas_benchmarks\gas\benchmarks\gas_benchmark_0321.csv
321,gas_benchmark_0322,322,gas,6000,6,5994,ar-1,pd-0,scatter,ir-0,0.001,gas_benchmarks\gas\benchmarks\gas_benchmark_0322.csv
322,gas_benchmark_0323,323,gas,6000,6,5994,ar-1,pd-0,scatter,ir-0,0.001,gas_benchmarks\gas\benchmarks\gas_benchmark_0323.csv
323,gas_benchmark_0324,324,gas,6000,6,5994,ar-1,pd-0,scatter,ir-0,0.001,gas_benchmarks\gas\benchmarks\gas_benchmark_0324.csv
324,gas_benchmark_0325,325,gas,6000,6,5994,ar-1,pd-0,scatter,ir-0,0.001,gas_benchmarks\gas\benchmarks\gas_benchmark_0325.csv
625,imgseg_benchmark_1526,1526,imgseg,1320,132,1188,ar-6,pd-0,scatter,ir-1,0.1,imgseg_benchmarks\imgseg\benchmarks\imgseg_benchmark_1526.csv
626,imgseg_benchmark_1527,1527,imgseg,1320,132,1188,ar-6,pd-0,scatter,ir-1,0.1,imgseg_benchmarks\imgseg\benchmarks\imgseg_benchmark_1527.csv
627,imgseg_benchmark_1528,1528,imgseg,1320,132,1188,ar-6,pd-0,scatter,ir-1,0.1,imgseg_benchmarks\imgseg\benchmarks\imgseg_benchmark_1528.csv
628,imgseg_benchmark_1529,1529,imgseg,1320,132,1188,ar-6,pd-0,scatter,ir-1,0.1,imgseg_benchmarks\imgseg\benchmarks\imgseg_benchmark_1529.csv
629,imgseg_benchmark_1530,1530,imgseg,1320,132,1188,ar-6,pd-0,scatter,ir-1,0.1,imgseg_benchmarks\imgseg\benchmarks\imgseg_benchmark_1530.csv
1655,landsat_benchmark_1761,1761,landsat,230,23,207,ar-6,pd-4,scatter,ir-0,0.1,landsat_benchmarks\landsat\benchmarks\landsat_benchmark_1761.csv
1656,landsat_benchmark_1762,1762,landsat,230,23,207,ar-6,pd-4,scatter,ir-0,0.1,landsat_benchmarks\landsat\benchmarks\landsat_benchmark_1762.csv
1657,landsat_benchmark_1763,1763,landsat,180,18,162,ar-6,pd-4,scatter,ir-0,0.1,landsat_benchmarks\landsat\benchmarks\landsat_benchmark_1763.csv
1658,landsat_benchmark_1764,1764,landsat,250,25,225,ar-6,pd-4,scatter,ir-0,0.1,landsat_benchmarks\landsat\benchmarks\landsat_benchmark_1764.csv
1659,landsat_benchmark_1765,1765,landsat,290,29,261,ar-6,pd-4,scatter,ir-0,0.1,landsat_benchmarks\landsat\benchmarks\landsat_benchmark_1765.csv
1310,letter.rec_benchmark_1666,1666,letter.rec,4089,409,3680,ar-6,pd-2,cluster,ir-1,0.10002445585717801,letter.rec_benchmarks\letter.rec\benchmarks\letter.rec_benchmark_1666.csv
1311,letter.rec_benchmark_1667,1667,letter.rec,4106,411,3695,ar-6,pd-2,cluster,ir-1,0.10009741841208,letter.rec_benchmarks\letter.rec\benchmarks\letter.rec_benchmark_1667.csv
1312,letter.rec_benchmark_1668,1668,letter.rec,4116,412,3704,ar-6,pd-2,cluster,ir-1,0.100097181729835,letter.rec_benchmarks\letter.rec\benchmarks\letter.rec_benchmark_1668.csv
1313,letter.rec_benchmark_1669,1669,letter.rec,4172,418,3754,ar-6,pd-2,cluster,ir-1,0.10019175455417098,letter.rec_benchmarks\letter.rec\benchmarks\letter.rec_benchmark_1669.csv
1314,letter.rec_benchmark_1670,1670,letter.rec,4099,410,3689,ar-6,pd-2,cluster,ir-1,0.100024396194194,letter.rec_benchmarks\letter.rec\benchmarks\letter.rec_benchmark_1670.csv
1410,magic.gamma_benchmark_1411,1411,magic.gamma,6000,300,5700,ar-4,pd-3,scatter,ir-2,0.05,magic.gamma_benchmarks\magic.gamma\benchmarks\magic.gamma_benchmark_1411.csv
1411,magic.gamma_benchmark_1412,1412,magic.gamma,6000,300,5700,ar-4,pd-3,scatter,ir-2,0.05,magic.gamma_benchmarks\magic.gamma\benchmarks\magic.gamma_benchmark_1412.csv
1412,magic.gamma_benchmark_1413,1413,magic.gamma,6000,300,5700,ar-4,pd-3,scatter,ir-2,0.05,magic.gamma_benchmarks\magic.gamma\benchmarks\magic.gamma_benchmark_1413.csv
1413,magic.gamma_benchmark_1414,1414,magic.gamma,6000,300,5700,ar-4,pd-3,scatter,ir-2,0.05,magic.gamma_benchmarks\magic.gamma\benchmarks\magic.gamma_benchmark_1414.csv
1414,magic.gamma_benchmark_1415,1415,magic.gamma,6000,300,5700,ar-4,pd-3,scatter,ir-2,0.05,magic.gamma_benchmarks\magic.gamma\benchmarks\magic.gamma_benchmark_1415.csv
775,opt.digits_benchmark_1316,1316,opt.digits,3180,159,3021,ar-4,pd-1,cluster,ir-3,0.05,opt.digits_benchmarks\opt.digits\benchmarks\opt.digits_benchmark_1316.csv
776,opt.digits_benchmark_1317,1317,opt.digits,3180,159,3021,ar-4,pd-1,cluster,ir-3,0.05,opt.digits_benchmarks\opt.digits\benchmarks\opt.digits_benchmark_1317.csv
777,opt.digits_benchmark_1318,1318,opt.digits,3180,159,3021,ar-4,pd-1,cluster,ir-3,0.05,opt.digits_benchmarks\opt.digits\benchmarks\opt.digits_benchmark_1318.csv
778,opt.digits_benchmark_1319,1319,opt.digits,3180,159,3021,ar-4,pd-1,cluster,ir-3,0.05,opt.digits_benchmarks\opt.digits\benchmarks\opt.digits_benchmark_1319.csv
779,opt.digits_benchmark_1320,1320,opt.digits,3180,159,3021,ar-4,pd-1,cluster,ir-3,0.05,opt.digits_benchmarks\opt.digits\benchmarks\opt.digits_benchmark_1320.csv
125,pageb_benchmark_0126,126,pageb,733,119,614,ar-0,pd-2,none,ir-1,0.162346521145975,pageb_benchmarks\pageb\benchmarks\pageb_benchmark_0126.csv
126,pageb_benchmark_0127,127,pageb,754,122,632,ar-0,pd-2,none,ir-1,0.16180371352785097,pageb_benchmarks\pageb\benchmarks\pageb_benchmark_0127.csv
127,pageb_benchmark_0128,128,pageb,751,124,627,ar-0,pd-2,none,ir-1,0.165113182423435,pageb_benchmarks\pageb\benchmarks\pageb_benchmark_0128.csv
128,pageb_benchmark_0129,129,pageb,745,122,623,ar-0,pd-2,none,ir-1,0.163758389261745,pageb_benchmarks\pageb\benchmarks\pageb_benchmark_0129.csv
129,pageb_benchmark_0130,130,pageb,745,124,621,ar-0,pd-2,none,ir-1,0.166442953020134,pageb_benchmarks\pageb\benchmarks\pageb_benchmark_0130.csv
1335,particle_benchmark_1336,1336,particle,6000,300,5700,ar-4,pd-2,none,ir-3,0.05,particle_benchmarks\particle\benchmarks\particle_benchmark_1336.csv
1336,particle_benchmark_1337,1337,particle,6000,300,5700,ar-4,pd-2,none,ir-3,0.05,particle_benchmarks\particle\benchmarks\particle_benchmark_1337.csv
1337,particle_benchmark_1338,1338,particle,6000,300,5700,ar-4,pd-2,none,ir-3,0.05,particle_benchmarks\particle\benchmarks\particle_benchmark_1338.csv
1338,particle_benchmark_1339,1339,particle,6000,300,5700,ar-4,pd-2,none,ir-3,0.05,particle_benchmarks\particle\benchmarks\particle_benchmark_1339.csv
1339,particle_benchmark_1340,1340,particle,6000,300,5700,ar-4,pd-2,none,ir-3,0.05,particle_benchmarks\particle\benchmarks\particle_benchmark_1340.csv
70,shuttle_benchmark_0071,71,shuttle,6000,979,5021,ar-0,pd-1,none,ir-2,0.163166666666667,shuttle_benchmarks\shuttle\benchmarks\shuttle_benchmark_0071.csv
71,shuttle_benchmark_0072,72,shuttle,6000,953,5047,ar-0,pd-1,none,ir-2,0.158833333333333,shuttle_benchmarks\shuttle\benchmarks\shuttle_benchmark_0072.csv
72,shuttle_benchmark_0073,73,shuttle,6000,893,5107,ar-0,pd-1,none,ir-2,0.148833333333333,shuttle_benchmarks\shuttle\benchmarks\shuttle_benchmark_0073.csv
73,shuttle_benchmark_0074,74,shuttle,6000,962,5038,ar-0,pd-1,none,ir-2,0.160333333333333,shuttle_benchmarks\shuttle\benchmarks\shuttle_benchmark_0074.csv
74,shuttle_benchmark_0075,75,shuttle,6000,945,5055,ar-0,pd-1,none,ir-2,0.1575,shuttle_benchmarks\shuttle\benchmarks\shuttle_benchmark_0075.csv
1465,skin_benchmark_1706,1706,skin,6000,600,5400,ar-6,pd-3,scatter,ir-1,0.1,skin_benchmarks\skin\benchmarks\skin_benchmark_1706.csv
1466,skin_benchmark_1707,1707,skin,6000,600,5400,ar-6,pd-3,scatter,ir-1,0.1,skin_benchmarks\skin\benchmarks\skin_benchmark_1707.csv
1467,skin_benchmark_1708,1708,skin,6000,600,5400,ar-6,pd-3,scatter,ir-1,0.1,skin_benchmarks\skin\benchmarks\skin_benchmark_1708.csv
1468,skin_benchmark_1709,1709,skin,6000,600,5400,ar-6,pd-3,scatter,ir-1,0.1,skin_benchmarks\skin\benchmarks\skin_benchmark_1709.csv
1469,skin_benchmark_1710,1710,skin,6000,600,5400,ar-6,pd-3,scatter,ir-1,0.1,skin_benchmarks\skin\benchmarks\skin_benchmark_1710.csv
500,spambase_benchmark_0681,681,spambase,2522,13,2509,ar-2,pd-1,scatter,ir-0,0.005154639175257729,spambase_benchmarks\spambase\benchmarks\spambase_benchmark_0681.csv
501,spambase_benchmark_0682,682,spambase,2522,13,2509,ar-2,pd-1,scatter,ir-0,0.005154639175257729,spambase_benchmarks\spambase\benchmarks\spambase_benchmark_0682.csv
502,spambase_benchmark_0683,683,spambase,2522,13,2509,ar-2,pd-1,scatter,ir-0,0.005154639175257729,spambase_benchmarks\spambase\benchmarks\spambase_benchmark_0683.csv
503,spambase_benchmark_0684,684,spambase,2522,13,2509,ar-2,pd-1,scatter,ir-0,0.005154639175257729,spambase_benchmarks\spambase\benchmarks\spambase_benchmark_0684.csv
504,spambase_benchmark_0685,685,spambase,2522,13,2509,ar-2,pd-1,scatter,ir-0,0.005154639175257729,spambase_benchmarks\spambase\benchmarks\spambase_benchmark_0685.csv
1305,synthetic_benchmark_1786,1786,synthetic,329,33,296,ar-6,pd-4,cluster,ir-1,0.10030395136778099,synthetic_benchmarks\synthetic\benchmarks\synthetic_benchmark_1786.csv
1306,synthetic_benchmark_1787,1787,synthetic,348,35,313,ar-6,pd-4,cluster,ir-1,0.100574712643678,synthetic_benchmarks\synthetic\benchmarks\synthetic_benchmark_1787.csv
1307,synthetic_benchmark_1788,1788,synthetic,267,27,240,ar-6,pd-4,cluster,ir-1,0.101123595505618,synthetic_benchmarks\synthetic\benchmarks\synthetic_benchmark_1788.csv
1308,synthetic_benchmark_1789,1789,synthetic,352,36,316,ar-6,pd-4,cluster,ir-1,0.10227272727272699,synthetic_benchmarks\synthetic\benchmarks\synthetic_benchmark_1789.csv
1309,synthetic_benchmark_1790,1790,synthetic,290,29,261,ar-6,pd-4,cluster,ir-1,0.1,synthetic_benchmarks\synthetic\benchmarks\synthetic_benchmark_1790.csv
540,wave_benchmark_0661,661,wave,3024,16,3008,ar-2,pd-1,none,ir-0,0.00529100529100529,wave_benchmarks\wave\benchmarks\wave_benchmark_0661.csv
541,wave_benchmark_0662,662,wave,3024,16,3008,ar-2,pd-1,none,ir-0,0.00529100529100529,wave_benchmarks\wave\benchmarks\wave_benchmark_0662.csv
542,wave_benchmark_0663,663,wave,3024,16,3008,ar-2,pd-1,none,ir-0,0.00529100529100529,wave_benchmarks\wave\benchmarks\wave_benchmark_0663.csv
543,wave_benchmark_0664,664,wave,3024,16,3008,ar-2,pd-1,none,ir-0,0.00529100529100529,wave_benchmarks\wave\benchmarks\wave_benchmark_0664.csv
544,wave_benchmark_0665,665,wave,3024,16,3008,ar-2,pd-1,none,ir-0,0.00529100529100529,wave_benchmarks\wave\benchmarks\wave_benchmark_0665.csv
490,wine_benchmark_0611,611,wine,3720,19,3701,ar-2,pd-0,none,ir-2,0.0051075268817204296,wine_benchmarks\wine\benchmarks\wine_benchmark_0611.csv
491,wine_benchmark_0612,612,wine,3720,19,3701,ar-2,pd-0,none,ir-2,0.0051075268817204296,wine_benchmarks\wine\benchmarks\wine_benchmark_0612.csv
492,wine_benchmark_0613,613,wine,3720,19,3701,ar-2,pd-0,none,ir-2,0.0051075268817204296,wine_benchmarks\wine\benchmarks\wine_benchmark_0613.csv
493,wine_benchmark_0614,614,wine,3720,19,3701,ar-2,pd-0,none,ir-2,0.0051075268817204296,wine_benchmarks\wine\benchmarks\wine_benchmark_0614.csv
494,wine_benchmark_0615,615,wine,3720,19,3701,ar-2,pd-0,none,ir-2,0.0051075268817204296,wine_benchmarks\wine\benchmarks\wine_benchmark_0615.csv
560,yeast_benchmark_1221,1221,yeast,926,47,879,ar-4,pd-0,scatter,ir-0,0.05075593952483799,yeast_benchmarks\yeast\benchmarks\yeast_benchmark_1221.csv
561,yeast_benchmark_1222,1222,yeast,926,47,879,ar-4,pd-0,scatter,ir-0,0.05075593952483799,yeast_benchmarks\yeast\benchmarks\yeast_benchmark_1222.csv
562,yeast_benchmark_1223,1223,yeast,926,47,879,ar-4,pd-0,scatter,ir-0,0.05075593952483799,yeast_benchmarks\yeast\benchmarks\yeast_benchmark_1223.csv
563,yeast_benchmark_1224,1224,yeast,926,47,879,ar-4,pd-0,scatter,ir-0,0.05075593952483799,yeast_benchmarks\yeast\benchmarks\yeast_benchmark_1224.csv
564,yeast_benchmark_1225,1225,yeast,926,47,879,ar-4,pd-0,scatter,ir-0,0.05075593952483799,yeast_benchmarks\yeast\benchmarks\yeast_benchmark_1225.csv
230,yearp_benchmark_0231,231,yearp,6000,2916,3084,ar-0,pd-3,cluster,ir-2,0.486,yearp_benchmarks\yearp\benchmarks\yearp_benchmark_0231.csv
231,yearp_benchmark_0232,232,yearp,6000,2774,3226,ar-0,pd-3,cluster,ir-2,0.46233333299999996,yearp_benchmarks\yearp\benchmarks\yearp_benchmark_0232.csv
232,yearp_benchmark_0233,233,yearp,6000,2834,3166,ar-0,pd-3,cluster,ir-2,0.47233333299999997,yearp_benchmarks\yearp\benchmarks\yearp_benchmark_0233.csv
233,yearp_benchmark_0234,234,yearp,6000,2806,3194,ar-0,pd-3,cluster,ir-2,0.46766666700000004,yearp_benchmarks\yearp\benchmarks\yearp_benchmark_0234.csv
234,yearp_benchmark_0235,235,yearp,6000,2843,3157,ar-0,pd-3,cluster,ir-2,0.47383333299999997,yearp_benchmarks\yearp\benchmarks\yearp_benchmark_0235.csv
